1950,"1A"
1954,"1A"
1953,"1A"
1832,"1A"
1933,"1A"
1839,"1A"
1866,"1A"
1904,"1A"
1801,"1A"
1891,"1A"
1910,"1A"
1909,"1A"
1830,"1A"
1834,"1A, 1B"
1889,"1A, 1B"
1788,"1A, 1B"
1794,"1B"
1934,"1B"
1952,"1B"
1956,"1B"
1849,"1B"
1939,"1B, 2A"
1826,"1B, 2A"
1888,"1B, 2A"
1951,"2A"
1805,"2B"
1955,"2B"
1872,"2B"
1926,"2B"
1944,"2B, 3A"
1863,"4, 5"
1873,"KG"
1864,"KG"
1862,"KG"
